"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\Desktop\Ifood\.eslintrc.json", "JSON with Comments", 0, 0, 31, 0, 0, 0, 31
"c:\Users\gabri\Desktop\Ifood\.prettierrc.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"c:\Users\gabri\Desktop\Ifood\config\config.json", "JSON", 23, 0, 0, 0, 0, 0, 23
"c:\Users\gabri\Desktop\Ifood\package-lock.json", "JSON", 4552, 0, 0, 0, 0, 1, 4553
"c:\Users\gabri\Desktop\Ifood\package.json", "JSON", 36, 0, 0, 0, 0, 1, 37
"c:\Users\gabri\Desktop\Ifood\src\app.ts", "TypeScript", 0, 27, 0, 0, 1, 9, 37
"c:\Users\gabri\Desktop\Ifood\src\config\auth.ts", "TypeScript", 0, 6, 0, 0, 0, 3, 9
"c:\Users\gabri\Desktop\Ifood\src\config\database.ts", "TypeScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\gabri\Desktop\Ifood\src\controller\client.controller.ts", "TypeScript", 0, 44, 0, 0, 0, 6, 50
"c:\Users\gabri\Desktop\Ifood\src\controller\company.controller.ts", "TypeScript", 0, 59, 0, 0, 0, 7, 66
"c:\Users\gabri\Desktop\Ifood\src\controller\user.controller.ts", "TypeScript", 0, 51, 0, 0, 0, 8, 59
"c:\Users\gabri\Desktop\Ifood\src\database\index.ts", "TypeScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\gabri\Desktop\Ifood\src\database\migrations\20240531170557-Users.cjs", "JavaScript", 0, 0, 0, 99, 7, 11, 117
"c:\Users\gabri\Desktop\Ifood\src\database\migrations\20240531182400-Company.cjs", "JavaScript", 0, 0, 0, 91, 1, 3, 95
"c:\Users\gabri\Desktop\Ifood\src\middleware\company.middleware.ts", "TypeScript", 0, 24, 0, 0, 0, 7, 31
"c:\Users\gabri\Desktop\Ifood\src\models\Client.ts", "TypeScript", 0, 47, 0, 0, 4, 3, 54
"c:\Users\gabri\Desktop\Ifood\src\models\Company.ts", "TypeScript", 0, 198, 0, 0, 0, 5, 203
"c:\Users\gabri\Desktop\Ifood\src\models\User.ts", "TypeScript", 0, 117, 0, 0, 0, 13, 130
"c:\Users\gabri\Desktop\Ifood\src\router\client.router.ts", "TypeScript", 0, 7, 0, 0, 0, 4, 11
"c:\Users\gabri\Desktop\Ifood\src\router\company.router.ts", "TypeScript", 0, 8, 0, 0, 0, 4, 12
"c:\Users\gabri\Desktop\Ifood\src\router\user.router.ts", "TypeScript", 0, 9, 0, 0, 0, 4, 13
"c:\Users\gabri\Desktop\Ifood\src\server.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"c:\Users\gabri\Desktop\Ifood\src\utils\responses.ts", "TypeScript", 0, 35, 0, 0, 23, 10, 68
"c:\Users\gabri\Desktop\Ifood\tsconfig.json", "JSON with Comments", 0, 0, 33, 0, 0, 0, 33
"c:\Users\gabri\Desktop\Ifood\types\responses.type.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"Total", "-", 4617, 670, 64, 190, 36, 110, 5687
